stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",8000,False,5569,1682.2802669693888,44414.23562951278,0.19462027380345126
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",64000,True,19329,40313.23823662121,1425250.9359114203,0.16818148199298877
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",64000,True,19329,27409.739364104913,1083969.239568798,0.1590171530652271
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",64000,True,19329,1254.3131573709973,44414.23562951278,0.16805130634941576
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",16000,False,6593,61942.025594640116,1425250.9359114203,0.2084716646331969
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",16000,False,6593,39200.87122473845,1083969.239568798,0.19016885013018947
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",16000,False,6593,1929.9178661748253,44414.23562951278,0.2084530803509076
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",32000,False,21377,74110.38315693031,1425250.9359114203,0.2280309842887052
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",32000,False,21377,48591.128281583784,1083969.239568798,0.21172396214036399
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",32000,False,21377,2780.077065023644,44414.23562951278,0.2501884873259329
screen,10000,2048,conv,all,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",16000,False,66433,10345.827578482074,1425250.9359114203,0.0851994812884441
