init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,laplace,0.95,1.6,3.0,160,1.5715882523765907e-05,0.009791856992661403,6.962157865376009e-07,0.000962670772202794,0.9999995626623307,0.0014978003855625754
invariant,laplace,0.95,2.4,3.0,160,1.1474724982393071e-06,0.004400870254364272,9.600782174915352e-09,9.878101129179366e-05,0.9999999952436786,0.00014577007127419828
invariant,student_t_nu5,0.95,0.02,6.0,215,0.00024947026771341254,0.022885698594986424,0.15589812979493617,0.12760989187323174,0.9956617161013227,0.904867856178103
invariant,student_t_nu5,0.95,0.05,6.0,215,0.00036004454925987414,0.022547263358275657,0.035974466209454214,0.08168935183145283,0.9971207380828161,0.5068072715130754
invariant,student_t_nu5,0.95,0.1,6.0,215,0.00027565479741872883,0.027116155481015643,0.006868444571993652,0.04422632779282165,0.9994260732984734,0.20037475872337485
invariant,student_t_nu5,0.95,0.2,6.0,215,0.00023809061920204168,0.028453439358180593,0.001468383209982202,0.024579039496293024,0.9997907887649065,0.08500684180704954
invariant,student_t_nu5,0.95,0.4,6.0,215,0.00015850957153924885,0.019498908091265723,0.00023487426728476503,0.012817791975854663,0.9999374721876424,0.03631595574471835
invariant,student_t_nu5,0.95,0.8,6.0,215,0.00012319456740789183,0.02221973066743828,3.904828592259029e-05,0.006369079736393715,0.9999824535572013,0.01257460881018857
invariant,student_t_nu5,0.95,1.6,6.0,215,3.104854558442098e-05,0.016184439216842702,1.3754548974400135e-06,0.0010805388338856743,0.9999994358257178,0.0018275413278809882
invariant,student_t_nu5,0.95,2.4,6.0,215,1.7586180263426201e-06,0.006880799888826363,1.4714172780349626e-08,0.00012690119844373528,0.9999999921461067,0.00019110639802077944
invariant,student_t_nu8,0.95,0.02,1.5,162,9.165138412059507e-05,0.015573138578300345,0.05727447807099885,0.08131846909385226,0.997386630612953,0.7022097949252699
invariant,student_t_nu8,0.95,0.05,1.5,162,0.00011677561318363457,0.019409257919058634,0.011667834880985238,0.04422643060279419,0.9992256723762583,0.31653305030173995
